Id,Name,Code,Simbol,Country,Flag,Charset
103,Mauritian rupee,MUR,₨,Mauritius,mauritius.png,
104,Norwegian krone,NOK,kr,Norway,norway.png,
105,Syrian pound,SYP,£ or ل.س,Syria,syria.png,
106,Gibraltar pound,GIP,£,Gibraltar,gibraltar.png,
107,Romanian leu,RON,lei,Romania,romania.png,
108,Sri Lankan rupee,LKR,Rs or රු,Sri Lanka,sri_lanka.png,
109,Transnistrian ruble,PRB,р.,Transnistria,transnistria.png,
110,Nigerian naira,NGN,₦,Nigeria,nigeria.png,
111,Costa Rican colón,CRC,₡,Costa Rica,costa_rica.png,
112,Czech koruna,CZK,Kč,Czech Republic,czech_republic.png,
113,Pakistani rupee,PKR,₨,Pakistan,pakistan.png,
114,East Caribbean dollar,XCD,$,Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines.png,
115,Netherlands Antillean guilder,ANG,ƒ,Sint Maarten,curacao.png,
116,Haitian gourde,HTG,G,Haiti,haiti.png,
117,Bahraini dinar,BHD,.د.ب,Bahrain,bahrain.png,
118,Surinamese dollar,SRD,$,Suriname,suriname.png,
119,Swazi lilangeni,SZL,L,Swaziland,swaziland.png,
120,Saudi riyal,SAR,ر.س,Saudi Arabia,saudi_arabia.png,
121,Trinidad and Tobago dollar,TTD,$,Trinidad and Tobago,trinidad_and_tobago.png,
122,Yemeni rial,YER,﷼,Yemen,yemen.png,
123,Maldivian rufiyaa,MVR,.ރ,Maldives,maldives.png,
124,Afghan afghani,AFN,؋,Afghanistan,afghanistan.png,
125,Aruban florin,AWG,ƒ,Aruba,aruba.png,
126,South Korean won,KRW,₩,South Korea,south_korea.png,
127,Nepalese rupee,NPR,₨,Nepal,nepal.png,
128,Japanese yen,JPY,¥,Japan,japan.png,
129,Mongolian tögrög,MNT,₮,Mongolia,mongolia.png,
130,Angolan kwanza,AOA,Kz,Angola,angola.png,
131,Polish złoty,PLN,zł,Poland,poland.png,UTF-8
132,British pound [B],GBP,£,United Kingdom,united_kingdom.png,
133,Solomon Islands dollar,SBD,$,Solomon Islands,solomon_islands.png,
134,Hungarian forint,HUF,Ft,Hungary,hungary.png,
135,Belarusian ruble,BYR,Br,Belarus,belarus.png,
136,Burundian franc,BIF,Fr,Burundi,burundi.png,
137,Malawian kwacha,MWK,MK,Malawi,malawi.png,
138,Malagasy ariary,MGA,Ar,Madagascar,madagascar.png,
139,Belize dollar,BZD,$,Belize,belize.png,
140,Bosnia and Herzegovina convertible mark,BAM,KM or КМ[D],Bosnia and Herzegovina,bosnia.png,
141,Egyptian pound,EGP,£ or ج.م,Egypt,egypt.png,
142,Macanese pataca,MOP,P,Macau,macao.png,
143,Namibian dollar,NAD,$,Namibia,namibia.png,
144,South Sudanese pound,SSP,£,South Sudan,sudan.png,
145,Nicaraguan córdoba,NIO,C$,Nicaragua,nicaragua.png,
146,Peruvian nuevo sol,PEN,S/.,Peru,peru.png,
147,New Zealand dollar,NZD,$,New Zealand,new_zealand.png,
148,Samoan tālā,WST,T,Samoa,samoa.png,
149,Turkmenistan manat,TMT,m,Turkmenistan,turkmenistan.png,
150,Brazilian real,BRL,R$,Brazil,brazil.png,
151,Guernsey pound,GGP,£,alderney.png,
152,Indian rupee,INR,₹,India,india.png,
153,Singapore dollar,SGD,$,Singapore,singapore.png,
154,Turkish Lira,TRY,₺,Turkey,turkey.png,
155,Kazakhstan Tenge,KZT,₸,Kazakhstan,kazakhstan.png,
